Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, cereals                                     , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.683544  ,    0.709677 , 0.862745  , 0.778761  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, cereals                                     , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.683544  ,    0.709677 , 0.862745  , 0.778761  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.945205  ,    0.971831 , 0.971831  , 0.971831  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.945205  ,    0.971831 , 0.971831  , 0.971831  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.945205  ,    0.971831 , 0.971831  , 0.971831  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.972603  ,    0.972603 , 1         , 0.986111  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.945205  ,    0.971831 , 0.971831  , 0.971831  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, poultry meat and poultry meat products      , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.945205  ,    0.971831 , 0.971831  , 0.971831  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.594937  ,    0.21875  , 0.5       , 0.304348  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.759494  ,    0.272727 , 0.214286  , 0.24      ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.759494  ,    0.272727 , 0.214286  , 0.24      ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.759494  ,    0.272727 , 0.214286  , 0.24      ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.594937  ,    0.21875  , 0.5       , 0.304348  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.746835  ,    0.25     , 0.214286  , 0.230769  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, crustaceans and products thereof            , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.759494  ,    0.272727 , 0.214286  , 0.24      ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
, bovine                                      , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0>_Cerceira ,           ,  0.671053  ,    0.8      , 0.758621  , 0.778761  ,           , <scipy.stats._continuous_distns.genextreme_gen object at 0x73ba429683a0> ,
, bovine                                      , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>_Cerceira       ,           ,  0.539474  ,    0.780488 , 0.551724  , 0.646465  ,           , <scipy.stats._continuous_distns.norm_gen object at 0x73ba4290f0d0>       ,
, bovine                                      , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>_Cerceira    ,           ,  0.539474  ,    0.780488 , 0.551724  , 0.646465  ,           , <scipy.stats._continuous_distns.laplace_gen object at 0x73ba4296b1c0>    ,
, bovine                                      , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>_Cerceira   ,           ,  0.539474  ,    0.780488 , 0.551724  , 0.646465  ,           , <scipy.stats._continuous_distns.logistic_gen object at 0x73ba42994400>   ,
, bovine                                      , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>_Cerceira   ,           ,  0.671053  ,    0.8      , 0.758621  , 0.778761  ,           , <scipy.stats._continuous_distns.gumbel_r_gen object at 0x73ba4296ae30>   ,
, bovine                                      , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>_Cerceira    ,           ,  0.631579  ,    0.8      , 0.689655  , 0.740741  ,           , <scipy.stats._continuous_distns.lognorm_gen object at 0x73ba42994d00>    ,
, bovine                                      , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>_Cerceira     ,           ,  0.539474  ,    0.780488 , 0.551724  , 0.646465  ,           , <scipy.stats._continuous_distns.cauchy_gen object at 0x73ba429461a0>     ,
