Unnamed: 0, TimeSerie                                   , Algorithm                                                                         , c-index   ,   accuracy ,   precision ,    recall ,        f1 ,   Roc-Auc , Distribution                                                             ,Unnamed: 10
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train                                    ,           ,  0.697368  ,    0.769231 , 0.862069  , 0.813008  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-guide-on-train-alt                                ,           ,  0.697368  ,    0.769231 , 0.862069  , 0.813008  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_risk-prediction-decision-threshold                                ,           ,  0.657895  ,    0.766667 , 0.793103  , 0.779661  ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_survival-prob                                                     ,           ,  0.0909091 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_survival-prob                                                     ,           ,  0.0909091 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0909091 ,    0        , 0         , 0         ,           ,                                                                          ,
, fruits and vegetables                       , scores_cph_tree_mean-survival-prob                                                ,           ,  0.0909091 ,    0        , 0         , 0         , 0.428571  ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_survival-prob                                                     ,           ,  0.338235  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_survival-prob                                                     ,           ,  0.338235  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.352941  ,    0.666667 , 0.0444444 , 0.0833333 ,           ,                                                                          ,
," nuts, nut products and seeds                ", scores_cph_tree_mean-survival-prob                                                ,           ,  0.338235  ,    0        , 0         , 0         , 0.459903  ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_survival-prob                                                     ,           ,  0.0886076 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_survival-prob                                                     ,           ,  0.0886076 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0759494 ,    0        , 0         , 0         ,           ,                                                                          ,
, cereals and bakery products                 , scores_cph_tree_mean-survival-prob                                                ,           ,  0.0886076 ,    0        , 0         , 0         , 0.470238  ,                                                                          ,
, fish and fish products                      , scores_cph_tree_survival-prob                                                     ,           ,  0.6875    ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, fish and fish products                      , scores_cph_tree_survival-prob                                                     ,           ,  0.6875    ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, fish and fish products                      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.45      ,    0        , 0         , 0         ,           ,                                                                          ,
, fish and fish products                      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.6875    ,    0        , 0         , 0         , 0.282909  ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_survival-prob                                                     ,           ,  0.0394737 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_survival-prob                                                     ,           ,  0.0394737 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.105263  ,    1        , 0.0684932 , 0.128205  ,           ,                                                                          ,
, meat and meat products (other than poultry) , scores_cph_tree_mean-survival-prob                                                ,           ,  0.0394737 ,    0        , 0         , 0         , 0.465753  ,                                                                          ,
, herbs and spices                            , scores_cph_tree_survival-prob                                                     ,           ,  0.367089  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, herbs and spices                            , scores_cph_tree_survival-prob                                                     ,           ,  0.367089  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, herbs and spices                            , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.303797  ,    0.142857 , 0.02      , 0.0350877 ,           ,                                                                          ,
, herbs and spices                            , scores_cph_tree_mean-survival-prob                                                ,           ,  0.367089  ,    0        , 0         , 0         , 0.22931   ,                                                                          ,
, cereals                                     , scores_cph_tree_survival-prob                                                     ,           ,  0.35443   ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, cereals                                     , scores_cph_tree_survival-prob                                                     ,           ,  0.35443   ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, cereals                                     , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.367089  ,    1        , 0.0196078 , 0.0384615 ,           ,                                                                          ,
, cereals                                     , scores_cph_tree_mean-survival-prob                                                ,           ,  0.35443   ,    0        , 0         , 0         , 0.396359  ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_survival-prob                                                     ,           ,  0.0273973 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_survival-prob                                                     ,           ,  0.0273973 ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.0273973 ,    0        , 0         , 0         ,           ,                                                                          ,
, poultry meat and poultry meat products      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.0273973 ,    0        , 0         , 0         , 0.0352113 ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_survival-prob                                                     ,           ,  0.822785  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_survival-prob                                                     ,           ,  0.822785  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.670886  ,    0.166667 , 0.214286  , 0.1875    ,           ,                                                                          ,
, crustaceans and products thereof            , scores_cph_tree_mean-survival-prob                                                ,           ,  0.822785  ,    0        , 0         , 0         , 0.521978  ,                                                                          ,
, bovine                                      , scores_cph_tree_survival-prob                                                     ,           ,  0.236842  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, bovine                                      , scores_cph_tree_survival-prob                                                     ,           ,  0.236842  ,    0        , 0         , 0         , 0.5       ,                                                                          ,
, bovine                                      , scores_cph_tree_mean-survival-prob-adjusted                                       ,           ,  0.302632  ,    0.727273 , 0.137931  , 0.231884  ,           ,                                                                          ,
, bovine                                      , scores_cph_tree_mean-survival-prob                                                ,           ,  0.236842  ,    0        , 0         , 0         , 0.434866  ,                                                                          ,
